file_path,label
data\processed\Glaucidium cuculoides\18_seg001.wav,Glaucidium cuculoides
data\processed\Cuculus micropterus\39_seg000.wav,Cuculus micropterus
data\processed\Centropus andamanensis\4_seg009.wav,Centropus andamanensis
data\processed\Mystery mystery\1_seg010.wav,Mystery mystery
data\processed\Mystery mystery\337_seg008.wav,Mystery mystery
data\processed\Mystery mystery\373_seg049.wav,Mystery mystery
data\processed\Pellorneum ruficeps\76_seg004.wav,Pellorneum ruficeps
data\processed\noise\Todiramphus_chloris__6__seg002.wav,noise
data\processed\Cuculus micropterus\11_seg009.wav,Cuculus micropterus
data\processed\Psilopogon lineatus\11_seg007.wav,Psilopogon lineatus
data\processed\Spelaeornis oatesi\5_seg007.wav,Spelaeornis oatesi
data\processed\Cuculus micropterus\53_seg000.wav,Cuculus micropterus
data\processed\Loriculus vernalis\23_seg002.wav,Loriculus vernalis
data\processed\Liocichla phoenicea\7_seg004.wav,Liocichla phoenicea
data\processed\noise\Mystery_mystery__332__seg047.wav,noise
data\processed\Arborophila torqueola\24_seg018.wav,Arborophila torqueola
data\processed\Mystery mystery\231_seg020.wav,Mystery mystery
data\processed\Mystery mystery\284_seg004.wav,Mystery mystery
data\processed\Mystery mystery\43_seg007.wav,Mystery mystery
data\processed\Mystery mystery\116_seg015.wav,Mystery mystery
data\processed\Liocichla phoenicea\16_seg008.wav,Liocichla phoenicea
data\processed\Sphenocichla humei\38_seg007.wav,Sphenocichla humei
data\processed\Arborophila torqueola\18_seg006.wav,Arborophila torqueola
data\processed\Stachyridopsis ambigua\5_seg002.wav,Stachyridopsis ambigua
data\processed\Cyornis poliogenys\10_seg015.wav,Cyornis poliogenys
data\processed\Mystery mystery\434_seg001.wav,Mystery mystery
data\processed\Pellorneum ruficeps\5_seg002.wav,Pellorneum ruficeps
data\processed\noise\Motacilla_citreola__14__seg023.wav,noise
data\processed\Mystery mystery\89_seg004.wav,Mystery mystery
data\processed\Todiramphus chloris\23_seg005.wav,Todiramphus chloris
data\processed\Mystery mystery\365_seg004.wav,Mystery mystery
data\processed\Mystery mystery\2_seg005.wav,Mystery mystery
data\processed\Cyornis magnirostris\8_seg017.wav,Cyornis magnirostris
data\processed\noise\Pellorneum_ruficeps__15__seg000.wav,noise
data\processed\Sphenocichla humei\10_seg004.wav,Sphenocichla humei
data\processed\Pellorneum ruficeps\91_seg006.wav,Pellorneum ruficeps
data\processed\Liocichla phoenicea\5_seg001.wav,Liocichla phoenicea
data\processed\Dicrurus andamanensis\11_seg016.wav,Dicrurus andamanensis
